FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_181,5178907,POINT (16.49043365157033 48.21461500509452),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_182,5178908,POINT (16.40093080792127 48.213167153674554),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_183,5178909,POINT (16.364788785723132 48.234884356379446),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_184,5178910,POINT (16.386900611034818 48.233935280521194),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_185,5178911,POINT (16.33501779931815 48.201867735675215),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_186,5178912,POINT (16.33122867560372 48.175845439923634),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_187,5178913,POINT (16.335038087494745 48.20186059706403),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_188,5178914,POINT (16.330104297652728 48.22304555490443),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_189,5178915,POINT (16.33012416747858 48.22304512695694),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_18a,5178916,POINT (16.330116263531952 48.22303270610455),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_18b,5178917,POINT (16.378760551956926 48.173808836773034),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_18c,5178918,POINT (16.378747370081367 48.173604726793805),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_18d,5178919,POINT (16.30053787235869 48.177814378496386),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_18e,5178920,POINT (16.3666804032302 48.2535232021491),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_18f,5178921,POINT (16.339108562410804 48.18880272354801),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_190,5178922,POINT (16.34662524518995 48.19225884411426),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_191,5178923,POINT (16.429986907805887 48.164595875465764),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_192,5178924,POINT (16.308024454859158 48.168928627154614),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_193,5178925,POINT (16.44385955501384 48.23889254157697),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_194,5178926,POINT (16.300054356304475 48.149993043069905),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_195,5178927,POINT (16.311651694598478 48.19584954740593),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_196,5178928,POINT (16.451179228950128 48.22736519245207),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_197,5178929,POINT (16.389698844162748 48.19956184247643),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_198,5178930,POINT (16.510122055833325 48.23008151552673),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_199,5178931,POINT (16.337377943353925 48.18717165824998),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_19a,5178932,POINT (16.360282885678796 48.2420590680323),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_19b,5178933,POINT (16.509502730076445 48.227949637317614),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_19c,5178934,POINT (16.416552356681244 48.239984531780244),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_19d,5178935,POINT (16.390847948468622 48.226805289157596),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_19e,5178936,POINT (16.390688488019588 48.227744178584544),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_19f,5178937,POINT (16.390684494066527 48.226881237635965),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a0,5178938,POINT (16.390889869081523 48.22693294938987),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a1,5178939,POINT (16.393862931004904 48.2165478303118),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a2,5178940,POINT (16.386442917251767 48.19559628835633),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a3,5178941,POINT (16.345366298106413 48.1800825230534),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a4,5178942,POINT (16.462494788807142 48.157771070484564),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a5,5178943,POINT (16.377329959909527 48.24616021796596),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a6,5178944,POINT (16.3772893606514 48.246210112860275),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a7,5178945,POINT (16.445052937968903 48.27174331271058),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a8,5178946,POINT (16.313217616289368 48.14822341763053),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1a9,5178947,POINT (16.398999552026492 48.15085717721665),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1aa,5178948,POINT (16.350138222556126 48.232425403268444),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ab,5178949,POINT (16.342623028617606 48.22081149781189),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ac,5178950,POINT (16.333413247054352 48.20876028947432),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ad,5178951,POINT (16.426811185964972 48.17034708775617),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ae,5178952,POINT (16.433774670221 48.16811097371528),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1af,5179041,POINT (16.40145299764228 48.15061521146438),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b0,5179042,POINT (16.35106212616464 48.21225613475912),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b1,5179043,POINT (16.343973541366996 48.21393881261693),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b2,5179044,POINT (16.30543856793045 48.15232611312811),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b3,5179045,POINT (16.39101394231751 48.204628251687424),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b4,5179046,POINT (16.389213053763502 48.2566147550305),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b5,5179047,POINT (16.3845713337363 48.15576051478005),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b6,5179048,POINT (16.3847175109639 48.16698874065572),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b7,5179049,POINT (16.403036808592926 48.226452835170285),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b8,5179050,POINT (16.368306028119097 48.240123140012095),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1b9,5179051,POINT (16.275306613334497 48.19676309879354),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ba,5179052,POINT (16.365671565017582 48.165550876061786),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1bb,5179053,POINT (16.337966257261705 48.20735552274164),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1bc,5179054,POINT (16.291156234517153 48.16193901564238),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1bd,5179055,POINT (16.390817847194167 48.2045204819295),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1be,5179056,POINT (16.33739364585094 48.206372883038085),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1bf,5179057,POINT (16.443927010489066 48.23888389976316),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1c0,5179058,POINT (16.389231926387474 48.23038570920853),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1c1,5179059,POINT (16.438687443301454 48.24717761141599),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1c2,5179060,POINT (16.391580396227372 48.22913274711561),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1c3,5179061,POINT (16.35364481705726 48.19772833868385),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1c4,5179062,POINT (16.353394342698856 48.19762973309872),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1c5,5179063,POINT (16.3534603506046 48.19762044844176),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1c6,5179064,POINT (16.353648481177046 48.19784980738773),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1c7,5179065,POINT (16.353401855756076 48.19759885923056),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1c8,5179066,POINT (16.48457670381781 48.22138176356976),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1c9,5179067,POINT (16.339740931727363 48.21259286136395),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ca,5179068,POINT (16.392403104378282 48.19840042881035),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1cb,5179069,POINT (16.484579772081258 48.221341249020966),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1cc,5179070,POINT (16.31890654886085 48.1940809654636),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1cd,5179071,POINT (16.510740902717913 48.231619337438495),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ce,5179072,POINT (16.382243479367045 48.199377660703476),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1cf,5179073,POINT (16.385042810147656 48.237736825610696),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1d0,5179074,POINT (16.35627890356037 48.19382049280316),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1d1,5179075,POINT (16.359732369127123 48.215814053874055),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1d2,5179076,POINT (16.358459012990444 48.21510683474408),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1d3,5179077,POINT (16.37894475522568 48.20296419556901),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1d4,5179078,POINT (16.50997806146883 48.22790571077428),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1d5,5179079,POINT (16.337353364200137 48.243049901745685),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1d6,5179080,POINT (16.40156064087201 48.19732901949459),Wasserspielmöglichkeit,13,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1d7,5179081,POINT (16.454262048963837 48.26805593466188),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1d8,5179082,POINT (16.411116098474597 48.299931469931046),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1d9,5179083,POINT (16.39939725642249 48.27390788644462),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1da,5179084,POINT (16.30054777707913 48.147556188359154),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1db,5179085,POINT (16.345170501513092 48.184798752880745),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1dc,5179086,POINT (16.345184644428524 48.18467422272527),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1dd,5179350,POINT (16.333046404464888 48.18141137999428),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1de,5179351,POINT (16.347331275101688 48.18727959678336),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1df,5179352,POINT (16.31350225520396 48.20011287245895),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1e0,5179308,POINT (16.438429219277822 48.24714722365102),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1e1,5179309,POINT (16.474275466463993 48.23810994887016),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1e2,5179310,POINT (16.43834867400427 48.24751512011183),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1e3,5179311,POINT (16.455891009874993 48.25736034106639),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1e4,5179312,POINT (16.39935095316321 48.261537924914556),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1e5,5179313,POINT (16.449646804953666 48.2379267245605),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1e6,5179314,POINT (16.31835318551213 48.1889133725381),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1e7,5179315,POINT (16.47582655108147 48.15942805079214),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1e8,5179316,POINT (16.33568223393434 48.20190061792292),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1e9,5179317,POINT (16.415673406512084 48.23937130432763),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ea,5179318,POINT (16.416041483268792 48.24136523255372),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1eb,5179319,POINT (16.314900260927025 48.139851238831625),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ec,5179320,POINT (16.3152026665322 48.14023363727642),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ed,5179321,POINT (16.39366324729818 48.27355302362668),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ee,5179322,POINT (16.461138148977586 48.2341421394607),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ef,5179323,POINT (16.415692011842783 48.237735547197616),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1f0,5179324,POINT (16.52468479997278 48.21317695611451),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1f1,5179325,POINT (16.47997290033075 48.2415956456854),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1f2,5179326,POINT (16.38990643718703 48.25635867575792),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1f3,5179327,POINT (16.38845603988052 48.25716132278797),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1f4,5179328,POINT (16.432100457480352 48.24711040680422),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1f5,5179329,POINT (16.480631206627688 48.22024927759485),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1f6,5179330,POINT (16.475531488777662 48.212470830584685),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1f7,5179331,POINT (16.330677757877027 48.217261689124136),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1f8,5179332,POINT (16.36210180079687 48.25661743213416),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1f9,5179333,POINT (16.525268270214355 48.217956215370464),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1fa,5179334,POINT (16.491208239566625 48.22601632217416),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1fb,5179335,POINT (16.384523802620006 48.238248468723974),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1fc,5179336,POINT (16.288265852627354 48.140491077549505),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1fd,5179337,POINT (16.387240725313912 48.186828485624304),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1fe,5179338,POINT (16.383387320284147 48.18765108025872),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_1ff,5179339,POINT (16.367638421408895 48.235574193436854),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_200,5179340,POINT (16.416311392756075 48.167501855925266),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_201,5179341,POINT (16.402959953171038 48.183675125021225),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_202,5179342,POINT (16.38298969395241 48.27708910971251),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_203,5179343,POINT (16.30181523957631 48.14928000563378),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_204,5179344,POINT (16.30217637413576 48.14941265095451),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_205,5179345,POINT (16.49103270904174 48.22552805176332),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_206,5179346,POINT (16.348228517626893 48.24566874788368),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_207,5179347,POINT (16.36725676099833 48.22337345428791),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_208,5179348,POINT (16.333082028938875 48.181416056494974),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_209,5179349,POINT (16.333104222954923 48.18140747213934),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_20a,5179389,POINT (16.37340640471858 48.1700897012057),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_20b,5179390,POINT (16.39365768853366 48.27357302700969),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_20c,5179391,POINT (16.37160243751817 48.199056282283415),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_20d,5179392,POINT (16.326857014758506 48.159238785160795),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_20e,5179393,POINT (16.319282826601142 48.23707796428978),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_20f,5179394,POINT (16.40446727107957 48.223812493183196),Grundwasserbrunnen,1,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_210,5179395,POINT (16.534775534614145 48.22926236938718),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_211,5179396,POINT (16.286065083979587 48.207920072697206),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_212,5179397,POINT (16.28988459071053 48.15428948400933),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_213,5179353,POINT (16.355718936893744 48.18144566228912),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_214,5179354,POINT (16.395009740319498 48.252664584716506),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_215,5179355,POINT (16.44320355613783 48.26337706593748),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_216,5179356,POINT (16.274093994190686 48.1937923724345),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_217,5179357,POINT (16.34236193034442 48.18788354089591),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_218,5179358,POINT (16.43361776773244 48.25446539008771),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_219,5179359,POINT (16.345138944658913 48.184658704059174),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_21a,5179360,POINT (16.350488878490747 48.18027570067783),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_21b,5179361,POINT (16.345107214970408 48.184773318779044),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_21c,5179362,POINT (16.350945902623014 48.182940986018195),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_21d,5179363,POINT (16.34324991987968 48.186949840678075),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_21e,5179364,POINT (16.35450825996335 48.19453084423738),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_21f,5179365,POINT (16.441017818970355 48.2409543572317),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_220,5179366,POINT (16.39305147203735 48.25138861277194),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_221,5179367,POINT (16.403248675000732 48.18795591470741),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_222,5179368,POINT (16.33959272941683 48.25704827534404),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_223,5179369,POINT (16.33764426167546 48.25828046342187),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_224,5179370,POINT (16.44309073250953 48.25822567480034),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_225,5179371,POINT (16.294663349855828 48.143493851235),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_226,5179372,POINT (16.443754997261475 48.25857997441673),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_227,5179373,POINT (16.443698849708856 48.25835489194031),Spielbrunnen,3,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_228,5179374,POINT (16.52610045643554 48.2145144051526),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_229,5179375,POINT (16.43873568102629 48.24717465817604),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_22a,5179376,POINT (16.41148754358213 48.241529474431424),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_22b,5179377,POINT (16.369172201820497 48.22167812609382),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_22c,5179378,POINT (16.366707032410787 48.25391233752438),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_22d,5179379,POINT (16.28379898455495 48.1987774625992),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_22e,5179380,POINT (16.28275113887006 48.19882691536565),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_22f,5179381,POINT (16.353282825686676 48.22089793101831),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_230,5179382,POINT (16.443081434320185 48.16113708264283),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_231,5179383,POINT (16.460505944845032 48.15376817574403),Bodenfontäne,12,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_232,5179384,POINT (16.407904134755118 48.19923437862052),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_233,5179385,POINT (16.473737480400093 48.23993073932898),Zierbrunnen,6,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_234,5179386,POINT (16.384744559023094 48.2383078020503),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_235,5179387,POINT (16.385749444774984 48.23788852154948),Trinkbrunnen,4,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_236,5179388,POINT (16.384248090518973 48.23889640921013),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_237,5179087,POINT (16.34521991487864 48.184688311384974),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_238,5179088,POINT (16.34512773010444 48.18483339093014),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_239,5179089,POINT (16.361519785494 48.25982032326193),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_23a,5179090,POINT (16.39187436754806 48.19166888144198),Sprühnebeldusche,11,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_23b,5179091,POINT (16.340662816172127 48.18575528836791),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_23c,5179092,POINT (16.325992642820594 48.16337070858798),Trinkbrunnen mit Tränke,5,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_23d,5179093,POINT (16.304193662726743 48.162035399182834),Trinkbrunnen mit Tränke,5,
