FID,OBJECTID,SHAPE,BASIS_TYP_TXT,BASIS_TYP,SE_ANNO_CAD_DATA
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_6cc,5180789,POINT (16.36681791978269 48.191051886133025),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_6cd,5180790,POINT (16.34984568705807 48.190983226152625),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_6ce,5180791,POINT (16.38559651989277 48.22334355710912),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_6cf,5180792,POINT (16.302039879416803 48.17571790633012),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_6d0,5180793,POINT (16.34843386945232 48.18904481507588),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_6d1,5180794,POINT (16.36804725852084 48.2306955611586),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_6d2,5180795,POINT (16.19664960780091 48.22937672134268),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_6d3,5180796,POINT (16.401956206494123 48.190370176282684),Trinkhydrant mit Tränke,18,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_6d4,5180797,POINT (16.250631541659054 48.21345102946748),Auslaufbrunnen mit Tränke,17,
TRINKBRUNNENOGD.fid--9378c8a_1938f5d5220_6d5,5180798,POINT (16.262093171780737 48.21007070607002),Auslaufbrunnen mit Tränke,17,
